 Received  Date(GMT) , Sent  Date(GMT) , Data  Date(GMT) , LATITUDE , LONGITUDE , FMTID , YEAR , MONTH , DAY , HOUR , MIN , SST , BP , BPT , AT , SSH1_SNOW1 , SSH2_SNOW2 , SSH3_SNOW3 , SSH4_SNOW4 , VBAT , SBDTIME , GPSDELAY , TTFF , T1 , T2 , T3 , Hex  Data 
 2022-07-14  00:00:20 , 0 , 2022-07-14  00:00:00 , 81.44471631614664 , 7.238117142803503 , 0 , 2022 , 07 , 14 , 00 , 00 , 1.2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-14  01:00:36 , 0 , 2022-07-14  01:00:00 , 81.38541468294946 , 7.657113084621017 , 0 , 2022 , 07 , 14 , 01 , 00 , 1.3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-14  02:00:17 , 0 , 2022-07-14  02:00:00 , 81.31350934884009 , 7.745794966566251 , 0 , 2022 , 07 , 14 , 02 , 00 , 1.3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-14  03:00:24 , 0 , 2022-07-14  03:00:00 , 81.24013952852127 , 7.855655572155456 , 0 , 2022 , 07 , 14 , 03 , 00 , 1.6 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-14  04:00:17 , 0 , 2022-07-14  04:00:00 , 81.23689606707669 , 7.898014360547933 , 0 , 2022 , 07 , 14 , 04 , 00 , 1.4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-14  05:00:19 , 0 , 2022-07-14  05:00:00 , 81.23191118132539 , 7.931579526160931 , 0 , 2022 , 07 , 14 , 05 , 00 , 1.2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-14  06:00:25 , 0 , 2022-07-14  06:00:00 , 81.22386120103963 , 7.94751721307739 , 0 , 2022 , 07 , 14 , 06 , 00 , 1.2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-14  07:02:47 , 0 , 2022-07-14  07:00:00 , 81.22164971957503 , 7.985486566155345 , 0 , 2022 , 07 , 14 , 07 , 00 , 1.1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-14  08:01:11 , 0 , 2022-07-14  08:00:00 , 81.21354475400119 , 7.963689593296635 , 0 , 2022 , 07 , 14 , 08 , 00 , 1.4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-14  09:00:17 , 0 , 2022-07-14  09:00:00 , 81.20226606442131 , 7.93216290665643 , 0 , 2022 , 07 , 14 , 09 , 00 , 1.1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-14  10:00:46 , 0 , 2022-07-14  10:00:00 , 81.19262486354262 , 7.882897429638945 , 0 , 2022 , 07 , 14 , 10 , 00 , 1.1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-14  11:00:17 , 0 , 2022-07-14  11:00:00 , 81.1862277946608 , 7.8216679585974305 , 0 , 2022 , 07 , 14 , 11 , 00 , 1.5 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-14  12:02:27 , 0 , 2022-07-14  12:00:00 , 81.18292800682354 , 7.763867691985837 , 0 , 2022 , 07 , 14 , 12 , 00 , 1.3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-14  13:00:19 , 0 , 2022-07-14  13:00:00 , 81.18161104211873 , 7.709778261767525 , 0 , 2022 , 07 , 14 , 13 , 00 , 1.1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-14  14:00:19 , 0 , 2022-07-14  14:00:00 , 81.1827945669171 , 7.662183801065908 , 0 , 2022 , 07 , 14 , 14 , 00 , 1.1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-14  15:00:18 , 0 , 2022-07-14  15:00:00 , 81.18577316020568 , 7.624195672523712 , 0 , 2022 , 07 , 14 , 15 , 00 , 1.3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-14  16:00:25 , 0 , 2022-07-14  16:00:00 , 81.18946455058244 , 7.593998020529625 , 0 , 2022 , 07 , 14 , 16 , 00 , 1.8 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-14  17:00:21 , 0 , 2022-07-14  17:00:00 , 81.19228958739575 , 7.5673945288297375 , 0 , 2022 , 07 , 14 , 17 , 00 , 1.7 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-14  18:00:19 , 0 , 2022-07-14  18:00:00 , 81.19324981828032 , 7.538189294230307 , 0 , 2022 , 07 , 14 , 18 , 00 , 1.4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-14  19:00:20 , 0 , 2022-07-14  19:00:00 , 81.18979110954947 , 7.462211696041322 , 0 , 2022 , 07 , 14 , 19 , 00 , 0.9 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-14  20:00:18 , 0 , 2022-07-14  20:00:00 , 81.18984810649442 , 7.407592529510993 , 0 , 2022 , 07 , 14 , 20 , 00 , 0.6 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-14  21:00:36 , 0 , 2022-07-14  21:00:00 , 81.19135483749835 , 7.349074771945169 , 0 , 2022 , 07 , 14 , 21 , 00 , 0.6 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-14  22:00:30 , 0 , 2022-07-14  22:00:00 , 81.19135819025982 , 7.280323045273008 , 0 , 2022 , 07 , 14 , 22 , 00 , 0.6 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-14  23:00:29 , 0 , 2022-07-14  23:00:00 , 81.13671488384693 , 7.60526464016823 , 0 , 2022 , 07 , 14 , 23 , 00 , 0.6 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
