 Received  Date(GMT) , Sent  Date(GMT) , Data  Date(GMT) , LATITUDE , LONGITUDE , FMTID , YEAR , MONTH , DAY , HOUR , MIN , SST , BP , BPT , AT , SSH1_SNOW1 , SSH2_SNOW2 , SSH3_SNOW3 , SSH4_SNOW4 , VBAT , SBDTIME , GPSDELAY , TTFF , T1 , T2 , T3 , Hex  Data 
 2022-07-14  00:02:17 , 0 , 2022-07-14  00:00:00 , 81.44468144742737 , 7.237942799207133 , 0 , 2022 , 07 , 14 , 00 , 00 , 1.2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-14  01:00:21 , 0 , 2022-07-14  01:00:00 , 81.38539657803753 , 7.657727310522034 , 0 , 2022 , 07 , 14 , 01 , 00 , 1.2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-14  02:00:14 , 0 , 2022-07-14  02:00:00 , 81.31358981511534 , 7.746379688166371 , 0 , 2022 , 07 , 14 , 02 , 00 , 1.1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-14  03:00:14 , 0 , 2022-07-14  03:00:00 , 81.24019451380934 , 7.855402103388428 , 0 , 2022 , 07 , 14 , 03 , 00 , 1.5 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-14  04:00:46 , 0 , 2022-07-14  04:00:00 , 81.23688802044916 , 7.897917801017627 , 0 , 2022 , 07 , 14 , 04 , 00 , 1.3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-14  05:00:14 , 0 , 2022-07-14  05:00:00 , 81.231951414463 , 7.9312563199553665 , 0 , 2022 , 07 , 14 , 05 , 00 , 1.2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-14  06:01:52 , 0 , 2022-07-14  06:00:00 , 81.22396111333137 , 7.947489049881057 , 0 , 2022 , 07 , 14 , 06 , 00 , 1.1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-14  07:02:03 , 0 , 2022-07-14  07:00:00 , 81.22161820361723 , 7.985647498705845 , 0 , 2022 , 07 , 14 , 07 , 00 , 1.1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-14  08:00:46 , 0 , 2022-07-14  08:00:00 , 81.21356487057 , 7.963724462015904 , 0 , 2022 , 07 , 14 , 08 , 00 , 1.3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-14  09:00:15 , 0 , 2022-07-14  09:00:00 , 81.20232775523232 , 7.9320153851518285 , 0 , 2022 , 07 , 14 , 09 , 00 , 1.1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-14  10:00:45 , 0 , 2022-07-14  10:00:00 , 81.19263827458849 , 7.883055679980259 , 0 , 2022 , 07 , 14 , 10 , 00 , 1.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
