 Received  Date(GMT) , Sent  Date(GMT) , Data  Date(GMT) , LATITUDE , LONGITUDE , FMTID , YEAR , MONTH , DAY , HOUR , MIN , SST , BP , BPT , AT , SSH1_SNOW1 , SSH2_SNOW2 , SSH3_SNOW3 , SSH4_SNOW4 , VBAT , SBDTIME , GPSDELAY , TTFF , T1 , T2 , T3 , Hex  Data 
 2022-07-25  00:00:18 , 0 , 2022-07-25  00:00:00 , 81.30140319772977 , 3.8333878715865524 , 0 , 2022 , 07 , 25 , 00 , 00 , -0.4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-25  01:00:16 , 0 , 2022-07-25  01:00:00 , 81.3026866348199 , 3.8122829086949253 , 0 , 2022 , 07 , 25 , 01 , 00 , -0.4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-25  02:00:17 , 0 , 2022-07-25  02:00:00 , 81.30376287125128 , 3.795667963961847 , 0 , 2022 , 07 , 25 , 02 , 00 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-25  03:00:16 , 0 , 2022-07-25  03:00:00 , 81.30423628117063 , 3.7813342381319046 , 0 , 2022 , 07 , 25 , 03 , 00 , 0.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-25  04:00:17 , 0 , 2022-07-25  04:00:00 , 81.303739401921 , 3.7697672110657265 , 0 , 2022 , 07 , 25 , 04 , 00 , 0.5 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-25  05:00:16 , 0 , 2022-07-25  05:00:00 , 81.30196310889502 , 3.7586910282785198 , 0 , 2022 , 07 , 25 , 05 , 00 , 0.6 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-25  06:00:16 , 0 , 2022-07-25  06:00:00 , 81.2990294426101 , 3.743724301083347 , 0 , 2022 , 07 , 25 , 06 , 00 , 0.7 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-25  07:00:16 , 0 , 2022-07-25  07:00:00 , 81.29542790624069 , 3.7260270849482424 , 0 , 2022 , 07 , 25 , 07 , 00 , 0.8 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-25  08:00:27 , 0 , 2022-07-25  08:00:00 , 81.2915594900584 , 3.705930632706327 , 0 , 2022 , 07 , 25 , 08 , 00 , 1.1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-25  09:00:17 , 0 , 2022-07-25  09:00:00 , 81.2876582168137 , 3.6829172779868316 , 0 , 2022 , 07 , 25 , 09 , 00 , 1.5 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-25  10:00:23 , 0 , 2022-07-25  10:00:00 , 81.28416329825899 , 3.65461326567015 , 0 , 2022 , 07 , 25 , 10 , 00 , 1.3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-25  11:00:17 , 0 , 2022-07-25  11:00:00 , 81.28144823202183 , 3.621772296534317 , 0 , 2022 , 07 , 25 , 11 , 00 , 1.4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-25  12:00:17 , 0 , 2022-07-25  12:00:00 , 81.27977118073531 , 3.5885370426498184 , 0 , 2022 , 07 , 25 , 12 , 00 , 1.6 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-25  13:00:17 , 0 , 2022-07-25  13:00:00 , 81.27907648855904 , 3.5585660373309906 , 0 , 2022 , 07 , 25 , 13 , 00 , 1.8 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-25  14:00:25 , 0 , 2022-07-25  14:00:00 , 81.27891153269479 , 3.532417180086213 , 0 , 2022 , 07 , 25 , 14 , 00 , 1.4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-25  15:00:18 , 0 , 2022-07-25  15:00:00 , 81.27878949217734 , 3.5097042327942916 , 0 , 2022 , 07 , 25 , 15 , 00 , 0.8 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-25  16:00:18 , 0 , 2022-07-25  16:00:00 , 81.27830669452587 , 3.4909958238003185 , 0 , 2022 , 07 , 25 , 16 , 00 , 0.6 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-25  17:00:17 , 0 , 2022-07-25  17:00:00 , 81.27731964154955 , 3.474399654531453 , 0 , 2022 , 07 , 25 , 17 , 00 , 0.5 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-25  18:00:24 , 0 , 2022-07-25  18:00:00 , 81.2759014234484 , 3.458518294007689 , 0 , 2022 , 07 , 25 , 18 , 00 , 0.6 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-25  19:00:17 , 0 , 2022-07-25  19:00:00 , 81.27432763721512 , 3.442977574049081 , 0 , 2022 , 07 , 25 , 19 , 00 , 0.4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-25  20:01:16 , 0 , 2022-07-25  20:00:00 , 81.27289936082954 , 3.427157904336326 , 0 , 2022 , 07 , 25 , 20 , 00 , 0.2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-25  21:00:16 , 0 , 2022-07-25  21:00:00 , 81.27203971278905 , 3.4112993425905245 , 0 , 2022 , 07 , 25 , 21 , 00 , 0.2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
