 Received  Date(GMT) , Sent  Date(GMT) , Data  Date(GMT) , LATITUDE , LONGITUDE , FMTID , YEAR , MONTH , DAY , HOUR , MIN , SST , BP , BPT , AT , SSH1_SNOW1 , SSH2_SNOW2 , SSH3_SNOW3 , SSH4_SNOW4 , VBAT , SBDTIME , GPSDELAY , TTFF , T1 , T2 , T3 , Hex  Data 
 2022-07-24  00:00:14 , 0 , 2022-07-24  00:00:00 , 81.31781496511786 , 4.417760784492543 , 0 , 2022 , 07 , 24 , 00 , 00 , -0.2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-24  01:00:16 , 0 , 2022-07-24  01:00:00 , 81.31949603971816 , 4.385471009342126 , 0 , 2022 , 07 , 24 , 01 , 00 , 0.1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-24  02:00:15 , 0 , 2022-07-24  02:00:00 , 81.32091828113306 , 4.358151367792573 , 0 , 2022 , 07 , 24 , 02 , 00 , 0.5 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-24  03:00:14 , 0 , 2022-07-24  03:00:00 , 81.32108323699731 , 4.335475971429105 , 0 , 2022 , 07 , 24 , 03 , 00 , -0.1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-24  04:00:15 , 0 , 2022-07-24  04:00:00 , 81.3207345498046 , 4.314667392651273 , 0 , 2022 , 07 , 24 , 04 , 00 , -0.5 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-24  05:00:16 , 0 , 2022-07-24  05:00:00 , 81.31965294895488 , 4.29405461514321 , 0 , 2022 , 07 , 24 , 05 , 00 , -0.3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-24  06:00:14 , 0 , 2022-07-24  06:00:00 , 81.31807312775095 , 4.276294367092504 , 0 , 2022 , 07 , 24 , 06 , 00 , 0.5 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-24  07:00:26 , 0 , 2022-07-24  07:00:00 , 81.3157496640533 , 4.260144785651249 , 0 , 2022 , 07 , 24 , 07 , 00 , 1.5 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-24  08:00:22 , 0 , 2022-07-24  08:00:00 , 81.31287768857942 , 4.2420841301729695 , 0 , 2022 , 07 , 24 , 08 , 00 , 1.8 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-24  09:00:17 , 0 , 2022-07-24  09:00:00 , 81.30985953270553 , 4.219981385468316 , 0 , 2022 , 07 , 24 , 09 , 00 , 2.1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
