 Received  Date(GMT) , Sent  Date(GMT) , Data  Date(GMT) , LATITUDE , LONGITUDE , FMTID , YEAR , MONTH , DAY , HOUR , MIN , SST , BP , BPT , AT , SSH1_SNOW1 , SSH2_SNOW2 , SSH3_SNOW3 , SSH4_SNOW4 , VBAT , SBDTIME , GPSDELAY , TTFF , T1 , T2 , T3 , Hex  Data 
 2022-07-29  00:00:18 , 0 , 2022-07-29  00:00:00 , 81.07400952720698 , 2.660909751707891 , 0 , 2022 , 07 , 29 , 00 , 00 , 0.5 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-29  01:00:19 , 0 , 2022-07-29  01:00:00 , 81.07831112017101 , 2.664691666644302 , 0 , 2022 , 07 , 29 , 01 , 00 , 0.6 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-29  02:00:16 , 0 , 2022-07-29  02:00:00 , 81.08327655990581 , 2.6799158859202805 , 0 , 2022 , 07 , 29 , 02 , 00 , 0.6 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-29  03:00:17 , 0 , 2022-07-29  03:00:00 , 81.0879094057029 , 2.7072516207248896 , 0 , 2022 , 07 , 29 , 03 , 00 , 1.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-29  04:00:18 , 0 , 2022-07-29  04:00:00 , 81.09080485050708 , 2.7414122367746927 , 0 , 2022 , 07 , 29 , 04 , 00 , 0.8 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-29  05:00:19 , 0 , 2022-07-29  05:00:00 , 81.09131648190717 , 2.7767060862008464 , 0 , 2022 , 07 , 29 , 05 , 00 , 1.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-29  06:00:18 , 0 , 2022-07-29  06:00:00 , 81.08905135625906 , 2.8087008183420323 , 0 , 2022 , 07 , 29 , 06 , 00 , 1.3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-29  07:00:19 , 0 , 2022-07-29  07:00:00 , 81.08405976498483 , 2.831185777854074 , 0 , 2022 , 07 , 29 , 07 , 00 , 2.1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-29  08:00:22 , 0 , 2022-07-29  08:00:00 , 81.07765129671404 , 2.8351675173740034 , 0 , 2022 , 07 , 29 , 08 , 00 , 2.4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-29  09:00:22 , 0 , 2022-07-29  09:00:00 , 81.07099472409456 , 2.8207989228247925 , 0 , 2022 , 07 , 29 , 09 , 00 , 2.7 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
