Year POS_DOY Lat Lon
2022 191.583333333333 79.7212031317474 4.42145418652618
2022 191.625 79.7210281175988 4.42131873496285
2022 191.666666666667 79.7211843562832 4.42116584903991
2022 191.708333333333 79.7210428697492 4.42129593618489
2022 191.75 79.7208061647896 4.41973757265433
2022 191.791666666667 79.7212748808429 4.42329418202007
2022 191.833333333333 79.7211863679401 4.42248951926766
2022 191.875 79.7211112660832 4.42106660730045
2022 191.916666666667 79.7209979427456 4.4223554088089
2022 191.958333333333 79.7217382324778 4.42593884026638
2022 192 79.7186127882369 4.43733554704997
2022 192.041666666667 79.7462482599168 4.66567737851605
2022 192.125 79.8931132938333 6.27351828059662
2022 192.166666666667 79.9887930595155 7.09378076158649
2022 192.208333333333 80.0809712011201 7.94392439388778
2022 192.291666666667 80.2905348861536 9.56465465215771
2022 192.375 80.3455644306877 10.6094944840368
2022 192.416666666667 80.3373494945377 10.6065976981281
2022 192.458333333333 80.2884293519514 10.514587194597
2022 192.5 80.3802212554348 10.5140708693308
2022 192.541666666667 80.4583915596242 10.2801580894088
2022 192.583333333333 80.526884453111 10.1143264838652
2022 192.625 80.5251363232813 10.1332789738941
2022 192.666666666667 80.5958930013116 9.85717906696672
2022 192.708333333333 80.641596504545 9.78365300796347
2022 192.75 80.6397732728585 9.77890817993332
2022 192.791666666667 80.7318494905144 9.4914222950591
2022 192.833333333333 80.7670816491295 9.34862281969922
2022 192.875 80.7979981331824 9.27262376383683
2022 192.916666666667 80.8743143602797 9.07390559160146
2022 192.958333333333 80.8873076520746 9.07361725411519
2022 193 80.9525731773718 8.83072309677144
2022 193.75 81.6024664254467 6.69318611581244
2022 193.791666666667 81.6056193623316 6.67058716241044
2022 193.833333333333 81.6053498003095 6.53574043725374
2022 193.875 81.6093643968919 6.53396749698922
2022 193.916666666667 81.6147093692249 6.54555329951961
2022 193.958333333333 81.6202628833212 6.57053941908714
2022 194 81.6253148243019 6.60772288487689
2022 194.041666666667 81.6291249024347 6.65299321132858
2022 194.083333333333 81.6315932054277 6.6988321661253
2022 194.125 81.6324944277104 6.74329112430161
2022 194.166666666667 81.6313464421836 6.78270618812479
2022 194.208333333333 81.628221668495 6.80958728847429
2022 194.25 81.6237095221108 6.82849954536553
2022 194.291666666667 81.6181177865337 6.83785240875795
2022 194.333333333333 81.6118964023528 6.83903794521319
2022 194.375 81.6034849943808 6.83423947299954
2022 194.416666666667 81.5980146287689 6.8202557754669
2022 194.458333333333 81.5944016930104 6.8064611736811
2022 194.5 81.5913895721072 6.78372408650662
2022 194.541666666667 81.589464416472 6.75950105544931
2022 194.583333333333 81.590496396452 6.73592309569855
2022 194.625 81.5922277624743 6.71412478173522
2022 194.666666666667 81.5952144023904 6.69171090076631
2022 194.708333333333 81.5986127614148 6.67178610991158
2022 194.75 81.6011313558299 6.6616098083025
2022 194.791666666667 81.6032764526174 6.65443221655084
2022 194.833333333333 81.6054228905095 6.64514909059699
2022 194.875 81.6079844002714 6.6325936694499
2022 194.916666666667 81.6115631378629 6.62925968344567
2022 194.958333333333 81.6156628945865 6.63417483175843
2022 195 81.6197666746239 6.64995158612439
2022 195.041666666667 81.6233816220392 6.67893419736231
2022 195.083333333333 81.6260966882763 6.71363259635166
2022 195.125 81.6271561609004 6.74559916529651
2022 195.166666666667 81.6256413832689 6.77563722584469
2022 195.208333333333 81.6208677214901 6.79361473283856
2022 195.25 81.6145712354524 6.79370056353216
2022 195.291666666667 81.6068960938988 6.77589471792547
2022 195.333333333333 81.5990016817452 6.74301083344287
2022 195.375 81.5919079090302 6.6970914123709
2022 195.416666666667 81.5861029378237 6.64834226061953
2022 195.458333333333 81.5812581975018 6.6012829006483
2022 195.5 81.5771262542681 6.55595758890854
2022 195.541666666667 81.5734576626693 6.50467106727785
2022 195.583333333333 81.5718845469883 6.45227142883965
2022 195.625 81.5716894162708 6.3988994895756
2022 195.666666666667 81.5728910459811 6.35208957505759
2022 195.708333333333 81.5739565535758 6.3098729437514
2022 195.75 81.5747565224622 6.26579083596414
2022 195.791666666667 81.5760426417615 6.22067875985377
2022 195.833333333333 81.5778893427783 6.17700434786107
2022 195.875 81.5810416091109 6.13840199341786
2022 195.916666666667 81.5854913941319 6.11023879708284
2022 195.958333333333 81.5893510931344 6.09137884327046
2022 196 81.5922532434614 6.08224323882123
2022 196.041666666667 81.5946182814013 6.08926392133617
2022 196.083333333333 81.596439501431 6.10819495369165
2022 196.125 81.597464775888 6.13387442433086
2022 196.166666666667 81.5971113948292 6.16096607810056
2022 196.208333333333 81.5945197102141 6.18723965807197
2022 196.25 81.590304618496 6.20262480989842
2022 196.291666666667 81.5837097366875 6.19036040844682
2022 196.333333333333 81.5757449165431 6.1670305530447
2022 196.375 81.5680999498427 6.12966603813564
2022 196.416666666667 81.5624847449353 6.07797718512876
2022 196.458333333333 81.5586310809035 6.02339422842229
2022 196.5 81.5565744970187 5.97757539019437
2022 196.541666666667 81.5554499808222 5.94547202858163
2022 196.583333333333 81.5533866914145 5.9241739466294
2022 196.625 81.5521743328675 5.90064426664378
2022 196.666666666667 81.5509177178691 5.88277136580774
2022 196.708333333333 81.5499326765497 5.86347823521365
2022 196.75 81.5500882446819 5.8397380018078
2022 196.791666666667 81.5509277761535 5.81098471945432
2022 196.833333333333 81.5523413003887 5.77256073192123
2022 196.875 81.5544595750844 5.73415551985238
2022 196.916666666667 81.5573912297124 5.70532445343284
2022 196.958333333333 81.5599762088046 5.68644706526084
2022 197 81.5626731701298 5.6803611326433
2022 197.041666666667 81.5658281186717 5.68480555324587
