 Received  Date(GMT) , Sent  Date(GMT) , Data  Date(GMT) , LATITUDE , LONGITUDE , FMTID , YEAR , MONTH , DAY , HOUR , MIN , SST , BP , BPT , AT , SSH1_SNOW1 , SSH2_SNOW2 , SSH3_SNOW3 , SSH4_SNOW4 , VBAT , SBDTIME , GPSDELAY , TTFF , T1 , T2 , T3 , Hex  Data 
 2022-07-19  00:00:31 , 0 , 2022-07-19  00:00:00 , 81.51910805816104 , 4.7081206564975275 , 0 , 2022 , 07 , 19 , 00 , 00 , 4.8 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-19  01:00:18 , 0 , 2022-07-19  01:00:00 , 81.524256558672 , 4.696677011053396 , 0 , 2022 , 07 , 19 , 01 , 00 , 5.5 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-19  02:00:19 , 0 , 2022-07-19  02:00:00 , 81.52923473890036 , 4.70091087823576 , 0 , 2022 , 07 , 19 , 02 , 00 , 4.9 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-19  03:00:18 , 0 , 2022-07-19  03:00:00 , 81.53340959748087 , 4.719090892022308 , 0 , 2022 , 07 , 19 , 03 , 00 , 4.7 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-19  04:00:21 , 0 , 2022-07-19  04:00:00 , 81.53657795706857 , 4.745065405670715 , 0 , 2022 , 07 , 19 , 04 , 00 , 4.9 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-19  05:00:18 , 0 , 2022-07-19  05:00:00 , 81.53875121705241 , 4.774216996086665 , 0 , 2022 , 07 , 19 , 05 , 00 , 4.8 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-19  06:00:19 , 0 , 2022-07-19  06:00:00 , 81.53988109766729 , 4.802797275948365 , 0 , 2022 , 07 , 19 , 06 , 00 , 5.3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-19  07:00:20 , 0 , 2022-07-19  07:00:00 , 81.53994815289664 , 4.828213890088421 , 0 , 2022 , 07 , 19 , 07 , 00 , 5.4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-19  08:00:25 , 0 , 2022-07-19  08:00:00 , 81.53882967167078 , 4.846532037647478 , 0 , 2022 , 07 , 19 , 08 , 00 , 5.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-19  09:00:24 , 0 , 2022-07-19  09:00:00 , 81.53689646940808 , 4.857372186027305 , 0 , 2022 , 07 , 19 , 09 , 00 , 5.8 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
