 Received  Date(GMT) , Sent  Date(GMT) , Data  Date(GMT) , LATITUDE , LONGITUDE , FMTID , YEAR , MONTH , DAY , HOUR , MIN , SST , BP , BPT , AT , SSH1_SNOW1 , SSH2_SNOW2 , SSH3_SNOW3 , SSH4_SNOW4 , VBAT , SBDTIME , GPSDELAY , TTFF , T1 , T2 , T3 , Hex  Data 
 2022-07-16  00:00:17 , 0 , 2022-07-16  00:00:00 , 81.19678631107726 , 6.701448661175277 , 0 , 2022 , 07 , 16 , 00 , 00 , 1.1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-16  01:00:17 , 0 , 2022-07-16  01:00:00 , 81.20303787011133 , 6.684266429201756 , 0 , 2022 , 07 , 16 , 01 , 00 , 1.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-16  02:00:24 , 0 , 2022-07-16  02:00:00 , 81.20890788489032 , 6.67634318329948 , 0 , 2022 , 07 , 16 , 02 , 00 , 1.3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-16  03:00:18 , 0 , 2022-07-16  03:00:00 , 81.21456131127843 , 6.674649368205621 , 0 , 2022 , 07 , 16 , 03 , 00 , 1.1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-16  04:00:16 , 0 , 2022-07-16  04:00:00 , 81.2192296963471 , 6.674739222212992 , 0 , 2022 , 07 , 16 , 04 , 00 , 1.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-16  05:00:16 , 0 , 2022-07-16  05:00:00 , 81.22195951473472 , 6.673847387662363 , 0 , 2022 , 07 , 16 , 05 , 00 , 1.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-16  06:00:18 , 0 , 2022-07-16  06:00:00 , 81.22176773677873 , 6.666569213066651 , 0 , 2022 , 07 , 16 , 06 , 00 , 0.7 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-16  07:00:16 , 0 , 2022-07-16  07:00:00 , 81.2188897263342 , 6.650365987441887 , 0 , 2022 , 07 , 16 , 07 , 00 , 0.7 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-16  08:00:28 , 0 , 2022-07-16  08:00:00 , 81.2139678724985 , 6.622698999804186 , 0 , 2022 , 07 , 16 , 08 , 00 , 0.9 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-16  09:00:18 , 0 , 2022-07-16  09:00:00 , 81.20764121160752 , 6.582117174990003 , 0 , 2022 , 07 , 16 , 09 , 00 , 1.1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-16  10:00:18 , 0 , 2022-07-16  10:00:00 , 81.20032950939711 , 6.528857888511283 , 0 , 2022 , 07 , 16 , 10 , 00 , 1.3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-16  11:00:17 , 0 , 2022-07-16  11:00:00 , 81.19361795148956 , 6.4651581028197995 , 0 , 2022 , 07 , 16 , 11 , 00 , 1.2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-16  12:00:17 , 0 , 2022-07-16  12:00:00 , 81.18839434912172 , 6.396472090272425 , 0 , 2022 , 07 , 16 , 12 , 00 , 1.2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-16  13:00:18 , 0 , 2022-07-16  13:00:00 , 81.1854077092056 , 6.32826753427193 , 0 , 2022 , 07 , 16 , 13 , 00 , 1.1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-16  14:00:22 , 0 , 2022-07-16  14:00:00 , 81.18458158877979 , 6.267700568896572 , 0 , 2022 , 07 , 16 , 14 , 00 , 1.5 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-16  15:00:18 , 0 , 2022-07-16  15:00:00 , 81.18559278163866 , 6.21793217765881 , 0 , 2022 , 07 , 16 , 15 , 00 , 2.9 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
