 Received  Date(GMT) , Sent  Date(GMT) , Data  Date(GMT) , LATITUDE , LONGITUDE , FMTID , YEAR , MONTH , DAY , HOUR , MIN , SST , BP , BPT , AT , SSH1_SNOW1 , SSH2_SNOW2 , SSH3_SNOW3 , SSH4_SNOW4 , VBAT , SBDTIME , GPSDELAY , TTFF , T1 , T2 , T3 , Hex  Data 
 2022-07-10  14:01:21 , 0 , 2022-07-10  14:00:00 , 79.72124939985571 , 4.42209389341437 , 0 , 2022 , 07 , 10 , 14 , 00 , 6.8 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-10  15:02:36 , 0 , 2022-07-10  15:00:00 , 79.72104957527219 , 4.4212288809555105 , 0 , 2022 , 07 , 10 , 15 , 00 , 4.0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-10  16:00:21 , 0 , 2022-07-10  16:00:00 , 79.72120112009054 , 4.421235586478446 , 0 , 2022 , 07 , 10 , 16 , 00 , 3.2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-10  17:01:22 , 0 , 2022-07-10  17:00:00 , 79.721058292452 , 4.421472961990418 , 0 , 2022 , 07 , 10 , 17 , 00 , 2.8 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-10  18:00:24 , 0 , 2022-07-10  18:00:00 , 79.72089668934922 , 4.419890458577299 , 0 , 2022 , 07 , 10 , 18 , 00 , 2.8 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-10  19:00:14 , 0 , 2022-07-10  19:00:00 , 79.72135937043186 , 4.423294182020072 , 0 , 2022 , 07 , 10 , 19 , 00 , 2.6 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-10  20:00:14 , 0 , 2022-07-10  20:00:00 , 79.72122458942084 , 4.422662521759435 , 0 , 2022 , 07 , 10 , 20 , 00 , 2.5 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-10  21:00:31 , 0 , 2022-07-10  21:00:00 , 79.721131382652 , 4.421085382764659 , 0 , 2022 , 07 , 10 , 21 , 00 , 2.4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-10  22:00:41 , 0 , 2022-07-10  22:00:00 , 79.72098117893822 , 4.422309811252944 , 0 , 2022 , 07 , 10 , 22 , 00 , 2.5 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 2022-07-10  23:00:17 , 0 , 2022-07-10  23:00:00 , 79.7217710895402 , 4.426271434204068 , 0 , 2022 , 07 , 10 , 23 , 00 , 2.4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
